timestamp,agent.name,rule.description,rule.level,rule.id
"Apr 9, 2025 @ 11:02:05.121","agente-ubuntu","File ""/home/webshell"" is a positive match for YARA rule: Webshell_Worse_Linux_Shell_1_RID320C","10","108001"
"Apr 9, 2025 @ 11:02:01.115","agente-ubuntu","File ""/home/webshell"" is a positive match for YARA rule: Webshell_Worse_Linux_Shell_php_RID3323","10","108001"
"Apr 9, 2025 @ 11:01:57.111","agente-ubuntu","Active response successfully removed malicious file ""/home/webshell""","5","108002"
"Apr 9, 2025 @ 11:01:55.721","agente-ubuntu","File deleted.","7","553"
"Apr 9, 2025 @ 11:01:24.366","agente-ubuntu","File modified in /home directory.","5","100300"
"Apr 9, 2025 @ 11:01:24.366","agente-ubuntu","File deleted.","7","553"
"Apr 9, 2025 @ 11:01:24.365","agente-ubuntu","File added to /home directory.","5","100301"
"Apr 9, 2025 @ 11:01:24.262","agente-ubuntu","File ""/home/xbash"" is a positive match for YARA rule: MAL_Xbash_PY_Sep18_RID2D38","10","108001"
"Apr 9, 2025 @ 11:01:24.262","agente-ubuntu","Active response successfully removed malicious file ""/home/xbash""","5","108002"
"Apr 9, 2025 @ 11:01:24.251","agente-ubuntu","File ""/home/mirai"" is a positive match for YARA rule: MAL_ELF_LNX_Mirai_Oct10_2_RID2F3A","10","108001"
"Apr 9, 2025 @ 11:01:24.248","agente-ubuntu","File modified in /home directory.","5","100300"
"Apr 9, 2025 @ 11:01:24.247","agente-ubuntu","File modified in /home directory.","5","100300"
"Apr 9, 2025 @ 11:01:24.244","agente-ubuntu","File modified in /home directory.","5","100300"
"Apr 9, 2025 @ 11:01:24.242","agente-ubuntu","File modified in /home directory.","5","100300"
"Apr 9, 2025 @ 11:01:24.240","agente-ubuntu","File modified in /home directory.","5","100300"
"Apr 9, 2025 @ 11:01:24.237","agente-ubuntu","File modified in /home directory.","5","100300"
"Apr 9, 2025 @ 11:01:24.236","agente-ubuntu","File modified in /home directory.","5","100300"
"Apr 9, 2025 @ 11:01:24.233","agente-ubuntu","File modified in /home directory.","5","100300"
"Apr 9, 2025 @ 11:01:24.231","agente-ubuntu","File modified in /home directory.","5","100300"
"Apr 9, 2025 @ 11:01:24.229","agente-ubuntu","File modified in /home directory.","5","100300"
"Apr 9, 2025 @ 11:01:24.228","agente-ubuntu","File modified in /home directory.","5","100300"
"Apr 9, 2025 @ 11:01:24.225","agente-ubuntu","File modified in /home directory.","5","100300"
"Apr 9, 2025 @ 11:01:24.223","agente-ubuntu","File modified in /home directory.","5","100300"
"Apr 9, 2025 @ 11:01:24.221","agente-ubuntu","File modified in /home directory.","5","100300"
"Apr 9, 2025 @ 11:01:24.219","agente-ubuntu","File modified in /home directory.","5","100300"
"Apr 9, 2025 @ 11:01:24.216","agente-ubuntu","File modified in /home directory.","5","100300"
"Apr 9, 2025 @ 11:01:24.215","agente-ubuntu","File modified in /home directory.","5","100300"
"Apr 9, 2025 @ 11:01:24.213","agente-ubuntu","File modified in /home directory.","5","100300"
"Apr 9, 2025 @ 11:01:24.211","agente-ubuntu","File modified in /home directory.","5","100300"
"Apr 9, 2025 @ 11:01:24.210","agente-ubuntu","File modified in /home directory.","5","100300"
"Apr 9, 2025 @ 11:01:24.209","agente-ubuntu","File modified in /home directory.","5","100300"
